CVE,In JSON,In Benchmark,JSON CWEs,Benchmark CWEs,Matched CWEs,Only in JSON,Only in Benchmark,Has Match,Exact Match,Precision,Recall,F1 Score
CVE-2021-0678,True,True,CWE-787;CWE-20,CWE-20;CWE-787,,CWE-787;CWE-20,CWE-20;CWE-787,False,False,0.0,0.0,0
CVE-2021-0679,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2021-0735,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2021-0895,True,True,CWE-787;CWE-20,CWE-20;CWE-787,,CWE-787;CWE-20,CWE-20;CWE-787,False,False,0.0,0.0,0
CVE-2021-0896,True,True,CWE-787;CWE-20,CWE-20;CWE-787,,CWE-787;CWE-20,CWE-20;CWE-787,False,False,0.0,0.0,0
CVE-2021-0900,True,True,CWE-125;CWE-20,CWE-125;CWE-20,,CWE-125;CWE-20,CWE-125;CWE-20,False,False,0.0,0.0,0
CVE-2021-0902,True,True,CWE-125;CWE-20,CWE-125;CWE-20,,CWE-125;CWE-20,CWE-125;CWE-20,False,False,0.0,0.0,0
CVE-2021-0903,True,True,CWE-787;CWE-20,CWE-20;CWE-787,,CWE-787;CWE-20,CWE-20;CWE-787,False,False,0.0,0.0,0
CVE-2021-0928,True,True,CWE-755;CWE-20,CWE-20;CWE-755,,CWE-755;CWE-20,CWE-20;CWE-755,False,False,0.0,0.0,0
CVE-2021-0933,True,True,CWE-116;CWE-20,CWE-20;CWE-116,,CWE-116;CWE-20,CWE-20;CWE-116,False,False,0.0,0.0,0
CVE-2021-0934,True,True,CWE-1284;CWE-770,CWE-1284;CWE-770,,CWE-1284;CWE-770,CWE-1284;CWE-770,False,False,0.0,0.0,0
CVE-2021-0943,True,True,CWE-787;CWE-20,CWE-20;CWE-787,,CWE-787;CWE-20,CWE-20;CWE-787,False,False,0.0,0.0,0
CVE-2021-0946,True,True,CWE-909;CWE-908,CWE-909;CWE-908,,CWE-909;CWE-908,CWE-909;CWE-908,False,False,0.0,0.0,0
CVE-2021-0947,True,True,CWE-909;CWE-908,CWE-909;CWE-908,,CWE-909;CWE-908,CWE-909;CWE-908,False,False,0.0,0.0,0
CVE-2021-0955,True,True,CWE-416;CWE-362,CWE-362;CWE-416,,CWE-416;CWE-362,CWE-362;CWE-416,False,False,0.0,0.0,0
CVE-2021-0964,True,True,CWE-681;CWE-122,CWE-681;CWE-122,,CWE-681;CWE-122,CWE-681;CWE-122,False,False,0.0,0.0,0
CVE-2021-0978,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2021-0984,True,True,CWE-404,CWE-404,CWE-404,,,True,True,1.0,1.0,1.0
CVE-2021-0986,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2021-1001,True,True,CWE-125,CWE-125,CWE-125,,,True,True,1.0,1.0,1.0
CVE-2021-1037,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2021-1047,True,True,CWE-190;CWE-125,CWE-125;CWE-190,,CWE-190;CWE-125,CWE-125;CWE-190,False,False,0.0,0.0,0
CVE-2021-1053,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-1058,True,True,CWE-1284,CWE-1284,CWE-1284,,,True,True,1.0,1.0,1.0
CVE-2021-1060,True,True,CWE-1285,CWE-1285,CWE-1285,,,True,True,1.0,1.0,1.0
CVE-2021-1062,True,True,CWE-1284,CWE-1284,CWE-1284,,,True,True,1.0,1.0,1.0
CVE-2021-1065,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-1070,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-1071,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-1080,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-1081,True,True,CWE-1284,CWE-1284,CWE-1284,,,True,True,1.0,1.0,1.0
CVE-2021-1082,True,True,CWE-1284,CWE-1284,CWE-1284,,,True,True,1.0,1.0,1.0
CVE-2021-1083,True,True,CWE-1284,CWE-1284,CWE-1284,,,True,True,1.0,1.0,1.0
CVE-2021-1256,True,True,CWE-552;CWE-22,CWE-22;CWE-552,,CWE-552;CWE-22,CWE-22;CWE-552,False,False,0.0,0.0,0
CVE-2021-1275,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-1359,True,True,CWE-112,CWE-112,CWE-112,,,True,True,1.0,1.0,1.0
CVE-2021-1573,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-1594,True,True,CWE-78;CWE-20,CWE-20;CWE-78,,CWE-78;CWE-20,CWE-20;CWE-78,False,False,0.0,0.0,0
CVE-2021-1624,True,True,CWE-799,CWE-799,CWE-799,,,True,True,1.0,1.0,1.0
CVE-2021-1896,True,True,CWE-319,CWE-319,CWE-319,,,True,True,1.0,1.0,1.0
CVE-2021-1906,True,True,CWE-390,CWE-390,CWE-390,,,True,True,1.0,1.0,1.0
CVE-2021-1942,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2021-1957,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-20038,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-20042,True,True,CWE-441,CWE-441,CWE-441,,,True,True,1.0,1.0,1.0
CVE-2021-20043,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-20046,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-20048,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-20084,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20085,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20086,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20087,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20088,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20089,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-20147,True,True,CWE-204,CWE-204,CWE-204,,,True,True,1.0,1.0,1.0
CVE-2021-20148,True,True,CWE-219,CWE-219,CWE-219,,,True,True,1.0,1.0,1.0
CVE-2021-20238,True,True,CWE-306,CWE-306,CWE-306,,,True,True,1.0,1.0,1.0
CVE-2021-20260,True,True,CWE-201,CWE-201,CWE-201,,,True,True,1.0,1.0,1.0
CVE-2021-20268,True,True,CWE-190;CWE-119,CWE-190;CWE-119,,CWE-190;CWE-119,CWE-190;CWE-119,False,False,0.0,0.0,0
CVE-2021-20320,True,True,CWE-733,CWE-733,CWE-733,,,True,True,1.0,1.0,1.0
CVE-2021-20325,True,True,CWE-122;CWE-918,CWE-122;CWE-918,,CWE-122;CWE-918,CWE-122;CWE-918,False,False,0.0,0.0,0
CVE-2021-20355,True,True,CWE-1004,CWE-1004,CWE-1004,,,True,True,1.0,1.0,1.0
CVE-2021-20379,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20406,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20414,True,True,CWE-799,CWE-799,CWE-799,,,True,True,1.0,1.0,1.0
CVE-2021-20419,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20441,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20479,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20497,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20543,True,True,CWE-79,CWE-79,CWE-79,,,True,True,1.0,1.0,1.0
CVE-2021-20566,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-20608,True,True,CWE-130,CWE-130,CWE-130,,,True,True,1.0,1.0,1.0
CVE-2021-20610,True,True,CWE-130,CWE-130,CWE-130,,,True,True,1.0,1.0,1.0
CVE-2021-20612,True,True,CWE-671,CWE-671,CWE-671,,,True,True,1.0,1.0,1.0
CVE-2021-20716,True,True,CWE-912,CWE-912,CWE-912,,,True,True,1.0,1.0,1.0
CVE-2021-20826,True,True,CWE-523,CWE-523,CWE-523,,,True,True,1.0,1.0,1.0
CVE-2021-20872,True,True,CWE-693,CWE-693,CWE-693,,,True,True,1.0,1.0,1.0
CVE-2021-21123,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-21126,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-21177,True,True,CWE-732,CWE-732,CWE-732,,,True,True,1.0,1.0,1.0
CVE-2021-21290,True,True,CWE-379;CWE-378,CWE-379;CWE-378,,CWE-379;CWE-378,CWE-379;CWE-378,False,False,0.0,0.0,0
CVE-2021-21327,True,True,CWE-470,CWE-470,CWE-470,,,True,True,1.0,1.0,1.0
CVE-2021-21366,True,True,CWE-115,CWE-115,CWE-115,,,True,True,1.0,1.0,1.0
CVE-2021-21428,True,True,CWE-379,CWE-379,CWE-379,,,True,True,1.0,1.0,1.0
CVE-2021-21445,True,True,CWE-444;CWE-79,CWE-79;CWE-444,,CWE-444;CWE-79,CWE-79;CWE-444,False,False,0.0,0.0,0
CVE-2021-21469,True,True,CWE-300;CWE-836;CWE-22,CWE-22;CWE-300;CWE-836,,CWE-300;CWE-836;CWE-22,CWE-22;CWE-300;CWE-836,False,False,0.0,0.0,0
CVE-2021-21471,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-21472,True,True,CWE-306,CWE-306,CWE-306,,,True,True,1.0,1.0,1.0
CVE-2021-21528,True,True,CWE-548,CWE-548,CWE-548,,,True,True,1.0,1.0,1.0
CVE-2021-21553,True,True,CWE-286,CWE-286,CWE-286,,,True,True,1.0,1.0,1.0
CVE-2021-21773,True,True,CWE-787;CWE-754,CWE-754;CWE-787,,CWE-787;CWE-754,CWE-754;CWE-787,False,False,0.0,0.0,0
CVE-2021-21776,True,True,CWE-787;CWE-131,CWE-131;CWE-787,,CWE-787;CWE-131,CWE-131;CWE-787,False,False,0.0,0.0,0
CVE-2021-21782,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2021-21793,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-21816,True,True,CWE-306,CWE-306,CWE-306,,,True,True,1.0,1.0,1.0
CVE-2021-21817,True,True,CWE-426,CWE-426,CWE-426,,,True,True,1.0,1.0,1.0
CVE-2021-21832,True,True,CWE-190;CWE-122,CWE-190;CWE-122,,CWE-190;CWE-122,CWE-190;CWE-122,False,False,0.0,0.0,0
CVE-2021-21887,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-21889,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-21890,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-21891,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-21892,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-21901,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-21903,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-21905,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-21906,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-21914,True,True,CWE-190;CWE-122,CWE-190;CWE-122,,CWE-190;CWE-122,CWE-190;CWE-122,False,False,0.0,0.0,0
CVE-2021-21938,True,True,CWE-193;CWE-122,CWE-193;CWE-122,,CWE-193;CWE-122,CWE-193;CWE-122,False,False,0.0,0.0,0
CVE-2021-21939,True,True,CWE-1284;CWE-131;CWE-122,CWE-1284;CWE-122;CWE-131,,CWE-1284;CWE-131;CWE-122,CWE-1284;CWE-122;CWE-131,False,False,0.0,0.0,0
CVE-2021-21943,True,True,CWE-1284;CWE-131;CWE-122,CWE-1284;CWE-122;CWE-131,,CWE-1284;CWE-131;CWE-122,CWE-1284;CWE-122;CWE-131,False,False,0.0,0.0,0
CVE-2021-21947,True,True,CWE-122;CWE-129,CWE-122;CWE-129,,CWE-122;CWE-129,CWE-122;CWE-129,False,False,0.0,0.0,0
CVE-2021-21948,True,True,CWE-190;CWE-122,CWE-190;CWE-122,,CWE-190;CWE-122,CWE-190;CWE-122,False,False,0.0,0.0,0
CVE-2021-21949,True,True,CWE-129,CWE-129,CWE-129,,,True,True,1.0,1.0,1.0
CVE-2021-21950,True,True,CWE-1284;CWE-123,CWE-123;CWE-1284,,CWE-1284;CWE-123,CWE-123;CWE-1284,False,False,0.0,0.0,0
CVE-2021-21951,True,True,CWE-1284;CWE-787,CWE-1284;CWE-787,,CWE-1284;CWE-787,CWE-1284;CWE-787,False,False,0.0,0.0,0
CVE-2021-21958,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-21960,True,True,CWE-1284;CWE-121,CWE-1284;CWE-121,,CWE-1284;CWE-121,CWE-1284;CWE-121,False,False,0.0,0.0,0
CVE-2021-21961,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-21962,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-21967,True,True,CWE-170;CWE-121;CWE-676,CWE-676;CWE-170;CWE-121,,CWE-170;CWE-121;CWE-676,CWE-676;CWE-170;CWE-121,False,False,0.0,0.0,0
CVE-2021-21968,True,True,CWE-20;CWE-696,CWE-20;CWE-696,,CWE-20;CWE-696,CWE-20;CWE-696,False,False,0.0,0.0,0
CVE-2021-21978,True,True,CWE-862;CWE-20,CWE-862;CWE-20,,CWE-862;CWE-20,CWE-862;CWE-20,False,False,0.0,0.0,0
CVE-2021-22127,True,True,CWE-78;CWE-20,CWE-20;CWE-78,,CWE-78;CWE-20,CWE-20;CWE-78,False,False,0.0,0.0,0
CVE-2021-22131,True,True,CWE-297,CWE-297,CWE-297,,,True,True,1.0,1.0,1.0
CVE-2021-22204,True,True,CWE-95,CWE-95,CWE-95,,,True,True,1.0,1.0,1.0
CVE-2021-22212,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-22240,True,True,CWE-863,CWE-863,CWE-863,,,True,True,1.0,1.0,1.0
CVE-2021-22277,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22285,True,True,CWE-755;CWE-754,CWE-754;CWE-755,,CWE-755;CWE-754,CWE-754;CWE-755,False,False,0.0,0.0,0
CVE-2021-22286,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22288,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22289,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22356,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-22406,True,True,CWE-248,CWE-248,CWE-248,,,True,True,1.0,1.0,1.0
CVE-2021-22437,True,True,CWE-190;CWE-367,CWE-190;CWE-367,,CWE-190;CWE-367,CWE-190;CWE-367,False,False,0.0,0.0,0
CVE-2021-22482,True,True,CWE-456,CWE-456,CWE-456,,,True,True,1.0,1.0,1.0
CVE-2021-22572,True,True,CWE-378,CWE-378,CWE-378,,,True,True,1.0,1.0,1.0
CVE-2021-22640,True,True,CWE-307;CWE-294,CWE-307;CWE-294,,CWE-307;CWE-294,CWE-307;CWE-294,False,False,0.0,0.0,0
CVE-2021-22642,True,True,CWE-400,CWE-400,CWE-400,,,True,True,1.0,1.0,1.0
CVE-2021-22644,True,True,CWE-321,CWE-321,CWE-321,,,True,True,1.0,1.0,1.0
CVE-2021-22648,True,True,CWE-732,CWE-732,CWE-732,,,True,True,1.0,1.0,1.0
CVE-2021-22738,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-22786,True,True,CWE-200,CWE-200,CWE-200,,,True,True,1.0,1.0,1.0
CVE-2021-22787,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22799,True,True,CWE-331,CWE-331,CWE-331,,,True,True,1.0,1.0,1.0
CVE-2021-22800,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22826,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22827,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-22923,True,True,CWE-319;CWE-522,CWE-522;CWE-319,,CWE-319;CWE-522,CWE-319;CWE-522,False,False,0.0,0.0,0
CVE-2021-22948,True,True,CWE-338,CWE-338,CWE-338,,,True,True,1.0,1.0,1.0
CVE-2021-22968,True,True,CWE-330;CWE-434,CWE-330;CWE-434,,CWE-330;CWE-434,CWE-330;CWE-434,False,False,0.0,0.0,0
CVE-2021-23126,True,True,CWE-338,CWE-338,CWE-338,,,True,True,1.0,1.0,1.0
CVE-2021-23138,True,True,CWE-121;CWE-20,CWE-20;CWE-121,,CWE-121;CWE-20,CWE-20;CWE-121,False,False,0.0,0.0,0
CVE-2021-23157,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-23158,True,True,CWE-415,CWE-415,CWE-415,,,True,True,1.0,1.0,1.0
CVE-2021-23165,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-23169,True,True,CWE-122,CWE-122,CWE-122,,,True,True,1.0,1.0,1.0
CVE-2021-23188,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-23206,True,True,CWE-121,CWE-121,CWE-121,,,True,True,1.0,1.0,1.0
CVE-2021-23277,True,True,CWE-95,CWE-95,CWE-95,,,True,True,1.0,1.0,1.0
CVE-2021-23329,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-23354,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-23362,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-23364,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-23382,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-23395,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-23396,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-23408,True,True,CWE-1321,CWE-1321,CWE-1321,,,True,True,1.0,1.0,1.0
CVE-2021-23446,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-23484,True,True,CWE-22,CWE-22,CWE-22,,,True,True,1.0,1.0,1.0
CVE-2021-23490,True,True,CWE-1333,CWE-1333,CWE-1333,,,True,True,1.0,1.0,1.0
CVE-2021-2351,True,True,CWE-327;CWE-384,CWE-384;CWE-327,,CWE-327;CWE-384,CWE-384;CWE-327,False,False,0.0,0.0,0
CVE-2021-23556,True,True,CWE-749,CWE-749,CWE-749,,,True,True,1.0,1.0,1.0
CVE-2021-23839,True,True,CWE-327,CWE-327,CWE-327,,,True,True,1.0,1.0,1.0
CVE-2021-23842,True,True,CWE-321,CWE-321,CWE-321,,,True,True,1.0,1.0,1.0
CVE-2021-23921,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
